ID,中文,英文,分类,字段类型,来源文件
5021004,飞棒球,Winged Baseball,cash,name,String.wz\Cash.img.xml
5021005,橄榄球,Football,cash,name,String.wz\Cash.img.xml
5021006,板擦,Chalkboard Eraser,cash,name,String.wz\Cash.img.xml
5021007,爱的爱心,Shooting Hearts,cash,name,String.wz\Cash.img.xml
5021008,小熊镖,Throwing Teddy,cash,name,String.wz\Cash.img.xml
5021009,小企鹅王镖,Throwing Pepe,cash,name,String.wz\Cash.img.xml
5021010,红豆馒头,Mr. Puff Throwing Star,cash,name,String.wz\Cash.img.xml
5021011,骷髅飞镖,Skull Striker,cash,name,String.wz\Cash.img.xml
5021012,南瓜派,Pumpkin Bomb,cash,name,String.wz\Cash.img.xml
5021013,海盗炸弹,Pirate Bomb,cash,name,String.wz\Cash.img.xml
5021014,便便镖,Poo Stars,cash,name,String.wz\Cash.img.xml
5021015,小鸡镖,Egg Throwing Star,cash,name,String.wz\Cash.img.xml
5021016,魔鬼球,Devilball,cash,name,String.wz\Cash.img.xml
5021025,道符镖,Charm of the Undead,cash,name,String.wz\Cash.img.xml
5021017,战龙陀螺,Dragon Disc,cash,name,String.wz\Cash.img.xml
5021019,射击之星,Shooting Star Medal,cash,name,String.wz\Cash.img.xml
5021020,爆炸飞镖,Throwing Boomers,cash,name,String.wz\Cash.img.xml
5021021,爆破绵羊,Exploding Sheep,cash,name,String.wz\Cash.img.xml
5030000,精灵商人,Mushroom House Elf,cash,name,String.wz\Cash.img.xml
5030001,在自由市场开设雇佣商店，代替\n离线状态的玩家，为玩家进行道\n具贩售工作的精灵商人。,"Set up this special store on the Free Market, and this Elf, working as the Hired Merchant, will sell the items for the owner, even if the owner does not log on to the game.",cash,desc,String.wz\Cash.img.xml
5030002,熊熊便利店,Cashier: Teddy Bear Clerk,cash,name,String.wz\Cash.img.xml
5030003,代替不在线的玩家在自由市场里\n销售道具的熊熊,"Set up this special store on the Free Market, and this Teddy Bear, working as the Hired Merchant, will sell the items for the owner, even if the owner does not log on to the game.",cash,desc,String.wz\Cash.img.xml
5030004,机器人自卖机,The Robot Stand,cash,name,String.wz\Cash.img.xml
5030005,代替不在线的玩家在自由市场里\n销售道具的机器人。,"Set up this special store on the Free Market, and this Robot, working as the Hired Merchant, will sell the items for the owner, even if the owner does not log on to the game.",cash,desc,String.wz\Cash.img.xml
5030008,小甜甜商人,Homely Coffeehouse,cash,name,String.wz\Cash.img.xml
5030009,在自由市场开设雇佣商店，代替\n离线状态的玩家，为玩家进行道\n具贩售工作的小甜甜商人。#c商品\n出售时通过聊天窗口告知。#,"Set up this special store on the Free Market, and this Coffeehouse, doubling as the Hired Merchant, will be a place that sells the items for the owner, even if the owner does not log on to the game. #cIf an item is sold, the owner will be notified through the chat window.#",cash,desc,String.wz\Cash.img.xml
5030010,奶奶商人,Granny&apos;s Food Stand,cash,name,String.wz\Cash.img.xml
5030011,在自由市场开设雇佣商店，代替\n离线状态的玩家，为玩家进行道\n具贩售工作的奶奶商人。#c商品出\n售时通过聊天窗口告知。#,"Set up this special store on the Free Market, and this Granny, working as the Hired Merchant, will sell the items for the owner, even if the owner does not log on to the game.",cash,desc,String.wz\Cash.img.xml
5030012,老爷爷商人,Tiki Torch Store,cash,name,String.wz\Cash.img.xml
5040000,缩地石,The Teleport Rock,cash,name,String.wz\Cash.img.xml
5040001,可乐翅膀,Teleport Coke,cash,name,String.wz\Cash.img.xml
5041000,高级瞬移之石,VIP Teleport Rock,cash,name,String.wz\Cash.img.xml
5050000,洗能力点卷轴,AP Reset,cash,name,String.wz\Cash.img.xml
5050001,技能点重置卷(1转),SP Reset (1st job),cash,name,String.wz\Cash.img.xml
5050002,技能点重置卷(2转),SP Reset (2nd job),cash,name,String.wz\Cash.img.xml
5050003,技能点重置卷(3转),SP Reset (3rd job),cash,name,String.wz\Cash.img.xml
5050004,技能点重置卷(4转),SP Reset (4th job),cash,name,String.wz\Cash.img.xml
5060000,道具取名,Item Tag,cash,name,String.wz\Cash.img.xml
5060001,封印之锁,Item Guard,cash,name,String.wz\Cash.img.xml
5060002,孵化器,Incubator,cash,name,String.wz\Cash.img.xml
5061000,除了任务道具以外的装备类道具\n和镖封印为#c无法商店出售，交易\n，丢弃#状态的锁。双击锁后把道\n具放入锁中就可以封印道具。,"A guard for sealing an equip item and/or throwing star to prevent #cselling, trading or dropping# of the item. Double-click on the guard, then seal the item into the window that appears. #cThis Item Guard is active for 7 days, after which the item will be automatically released from the seal.#",cash,desc,String.wz\Cash.img.xml
5070000,蓝喇叭,Cheap Megaphone,cash,name,String.wz\Cash.img.xml
5071000,红喇叭,Megaphone,cash,name,String.wz\Cash.img.xml
5072000,高质地喇叭,Super Megaphone,cash,name,String.wz\Cash.img.xml
5073000,心脏高级喇叭,Heart Megaphone,cash,name,String.wz\Cash.img.xml
5074000,白骨高级喇叭,Skull Megaphone,cash,name,String.wz\Cash.img.xml
5075000,冒险岛TV消息,MapleTV Messenger,cash,name,String.wz\Cash.img.xml
5075001,闪星冒险岛TV消息,MapleTV Star Messenger,cash,name,String.wz\Cash.img.xml
5075002,爱心冒险岛TV消息,MapleTV Heart Messenger,cash,name,String.wz\Cash.img.xml
5075003,广播消息,Megassenger,cash,name,String.wz\Cash.img.xml
5075004,闪星广播消息,Star Megassenger,cash,name,String.wz\Cash.img.xml
5075005,爱心广播消息,Heart Megassenger,cash,name,String.wz\Cash.img.xml
5076000,道具喇叭,Item Megaphone,cash,name,String.wz\Cash.img.xml
5080000,韩国风筝,Korean Kite,cash,name,String.wz\Cash.img.xml
5080001,真情告白,Heart Balloon,cash,name,String.wz\Cash.img.xml
5080002,节日祝贺横幅,Graduation Banner,cash,name,String.wz\Cash.img.xml
5080003,生日祝贺横幅,Admission Banner,cash,name,String.wz\Cash.img.xml
5090000,消息,Note,cash,name,String.wz\Cash.img.xml
5100000,音乐盒,Congratulatory Song,cash,name,String.wz\Cash.img.xml
5110000,红心巧克力,Heart-Shaped Chocolate,cash,name,String.wz\Cash.img.xml
5120000,下雪了,Snowy Snow,cash,name,String.wz\Cash.img.xml
5120001,浪漫樱花,Sprinkled Flowers,cash,name,String.wz\Cash.img.xml
5120002,泡泡飞舞,Soap Bubbles,cash,name,String.wz\Cash.img.xml
5120003,雪绒花,Snowflakes,cash,name,String.wz\Cash.img.xml
5120004,飘礼物,Sprinkled Presents,cash,name,String.wz\Cash.img.xml
5120005,甜心,Sprinkled Chocolate,cash,name,String.wz\Cash.img.xml
5120006,花瓣雨,Sprinkled Flower Petals,cash,name,String.wz\Cash.img.xml
5120007,棒棒糖,Sprinkled Candy,cash,name,String.wz\Cash.img.xml
5120008,飘枫叶,Sprinkled Maple Leaves,cash,name,String.wz\Cash.img.xml
5120009,在角色位置的地图上放鞭炮30秒\n钟。可以输入想说的消息。,Ignites fireworks on the map where your character is for 30 sec. Enter a message of your choice.,cash,desc,String.wz\Cash.img.xml
5120010,漂可乐,Sprinkled Coke,cash,name,String.wz\Cash.img.xml
5120011,幽灵出没,Spirit Haunt,cash,name,String.wz\Cash.img.xml
5120012,圣诞袜子,Holiday Sock,cash,name,String.wz\Cash.img.xml
5120014,会释放30秒圣诞袜子在角色所在\n的地图里,Sprinkles Christmas Socks on the map where your character is for 30 seconds. Enter a message of your choice.,cash,desc,String.wz\Cash.img.xml
5120015,新年鞭炮,Chinese Lantern Firecrackers,cash,name,String.wz\Cash.img.xml
5121000,战斗精神,Fighting Spirit,cash,name,String.wz\Cash.img.xml
5121001,韩国足球圣歌,Korean Soccer Chant,cash,name,String.wz\Cash.img.xml
5121002,足球,Soccer Fever,cash,name,String.wz\Cash.img.xml
5121003,参鸡汤,Chicken Soup,cash,name,String.wz\Cash.img.xml
5121004,松糕,Song Pyun,cash,name,String.wz\Cash.img.xml
5121005,韩果,Han Gwa,cash,name,String.wz\Cash.img.xml
5121006,小魔女,Flock of Witches,cash,name,String.wz\Cash.img.xml
5121007,圣诞树铃铛,Tree Decor,cash,name,String.wz\Cash.img.xml
5121008,祝你生日快乐,Happy Birthday,cash,name,String.wz\Cash.img.xml
5121009,火红玫瑰,Petite Rose,cash,name,String.wz\Cash.img.xml
5121010,在15分钟的时间内，让所在地图\n内的所有角色提升物理攻击力+2\n0，魔法攻击力+30。玩家可输\n入想要传达的讯息,"Increases Weapon Attack +20, Magic Attack +30 for 15 minutes to everyone in the map. Enter a message of your choice.",cash,desc,String.wz\Cash.img.xml
5121014,你可以输入你选择的信息。,You can enter the message of your choice. ,cash,desc,String.wz\Cash.img.xml
5121015,雪孩子,Snowy Snowman,cash,name,String.wz\Cash.img.xml
5121016,巧克力糖果,Heart-shaped Chocolate Box,cash,name,String.wz\Cash.img.xml
5121017,飞溅的水,Water Splash,cash,name,String.wz\Cash.img.xml
5122000,爽朗的熊宝宝,Hearty Party Bear,cash,name,String.wz\Cash.img.xml
5130000,护身符,Safety Charm,cash,name,String.wz\Cash.img.xml
5140000,营业执照,Regular Store Permit,cash,name,String.wz\Cash.img.xml
5140001,蓝色个人商店,Summer Store Permit(SE),cash,name,String.wz\Cash.img.xml
5140002,粉红个人商店,Pink VIP Store Permit,cash,name,String.wz\Cash.img.xml
5140003,朱黄个人商店,Fall Store Permit(SE),cash,name,String.wz\Cash.img.xml
5140004,绿色个人商店,Spring Store Permit (SE),cash,name,String.wz\Cash.img.xml
5140006,假日个人商店,Holiday Store Permit,cash,name,String.wz\Cash.img.xml
5150000,射手村美发店普通会员卡,Henesys Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150001,射手村美发店高级会员卡,Henesys Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150002,废弃都市美发店普通会员卡,Kerning City Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150003,废弃都市美发店高级会员卡,Kerning City Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150004,天空之城美发店普通会员卡,Orbis Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150005,天空之城美发店高级会员卡,Orbis Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150006,玩具城美发店普通会员卡,Ludibrium Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150007,玩具城美发店高级会员卡,Ludibrium Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150008,昭和美发店普通会员卡,Showa Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150009,昭和美发店高级会员卡,Showa Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150010,射手村美发店一般会员卡,Henesys Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150011,废弃都市美发店一般会员卡,Kerning City Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150012,玩具城美发店一般会员卡,Ludibrium Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150013,天空之城美发店一般会员卡,Orbis Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150019,婚礼村美发店一般会员卡,Amoria Hairstyle Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150020,婚礼村美发店高级会员卡,Amoria Hairstyle Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150021,不夜城美发店一般会员卡,Night Market Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150022,不夜城美发店高级会员卡,Night Market Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150024,武陵美发店一般会员卡,Mu Lung Hair Style Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150025,武陵美发店高级会员卡,Mu Lung Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150026,阿里安特美发店普通会员卡,Ariant Hair Style Coupon (REG),cash,name,String.wz\Cash.img.xml
5150027,阿里安特美发店高级会员卡,Ariant Hair Style Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150030,新叶城美发店一般会员卡,NLC Hairstyle Coupon (EXP),cash,name,String.wz\Cash.img.xml
5150031,新叶城美发店高级会员卡,NLC Hairstyle Coupon (VIP),cash,name,String.wz\Cash.img.xml
5150038,超级明星美发卡,Matinee Idol Hair Coupon,cash,name,String.wz\Cash.img.xml
5150040,皇家理发券,Royal Hair Coupon,cash,name,String.wz\Cash.img.xml
5151000,射手村染色普通会员卡,Henesys Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151001,射手村染色高级会员卡,Henesys Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151002,废弃都市染色普通会员卡,Kerning City Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151003,废弃都市染色高级会员卡,Kerning City Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151004,天空之城染色普通会员卡,Orbis Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151005,天空之城染色高级会员卡,Orbis Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151006,玩具城染色普通会员卡,Ludibrium Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151007,玩具城染色高级会员卡,Ludibrium Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151008,昭和染色普通会员卡,Showa Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151009,昭和染色高级会员卡,Showa Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151014,不夜城染色普通会员卡,Night Market Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151015,不夜城染色高级会员卡,Night Market Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151016,婚礼村染色普通会员卡,Amoria Hair Color Coupon (REG) ,cash,name,String.wz\Cash.img.xml
5151017,婚礼村染色高级会员卡,Amoria Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151019,武陵染色普通会员卡,Mu Lung Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151020,武陵染色高级会员卡,Mu Lung Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151021,阿里安特染色普通会员卡,Ariant Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151022,阿里安特染色高级会员卡,Ariant Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5151025,新叶城染色普通会员卡,NLC Hair Color Coupon (REG),cash,name,String.wz\Cash.img.xml
5151026,新叶城染色高级会员卡,NLC Hair Color Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152000,射手村整形手术普通会员卡,Henesys Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152001,射手村整形手术高级会员卡,Henesys Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152002,废弃都市整形手术普通会员卡,Kerning City Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152003,废弃都市整形手术高级会员卡,Kerning City Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152004,天空之城整形手术普通会员卡,Orbis Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152005,天空之城整形手术高级会员卡,Orbis Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152006,玩具城整形手术普通会员卡,Ludibrium Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152007,玩具城整形手术高级会员卡,Ludibrium Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152008,昭和整形手术普通会员卡,Showa Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152009,昭和整形手术高级会员卡,Showa Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152010,射手村美瞳普通会员卡,Henesys Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152011,天空之城美瞳普通会员卡,Orbis Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152012,玩具城美瞳普通会员卡,Ludibrium Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152013,射手村美瞳高级会员卡,Henesys Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152014,天空之城美瞳高级会员卡,Orbis Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152015,玩具城美瞳高级会员卡,Ludibrium Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152021,婚礼村整形手术普通会员卡,Amoria Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152022,婚礼村整形手术高级会员卡,Amoria Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152023,不夜城整形手术普通会员卡,Night Market Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152024,不夜城整形手术高级会员卡,Night Market Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152025,婚礼村美瞳普通会员卡,Amoria Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152026,婚礼村美瞳高级会员卡,Amoria Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152027,武陵整形手术普通会员卡,Mu Lung Plastic Surgery Coupon (REG),cash,name,String.wz\Cash.img.xml
5152028,武陵整形手术高级会员卡,Mu Lung Plastic Surgery Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152029,阿里安特整形手术普通会员卡,Ariant Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152030,阿里安特整形手术高级会员卡,Ariant Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152033,新叶城整形手术普通会员卡,NLC Face Coupon (REG),cash,name,String.wz\Cash.img.xml
5152034,新叶城整形手术高级会员卡,NLC Face Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152035,新叶城美瞳普通会员卡,NLC Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152036,新叶城美瞳高级会员卡,NLC Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152041,武陵美瞳高级会员卡,Mu Lung Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152042,武陵美瞳普通会员卡,Mu Lung Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152045,昭和美瞳高级会员卡,Showa Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152046,昭和美瞳普通会员卡,Showa Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152047,阿里安特美瞳高级会员卡,Ariant Cosmetic Lens Coupon (VIP),cash,name,String.wz\Cash.img.xml
5152048,阿里安特美瞳普通会员卡,Ariant Cosmetic Lens Coupon (REG),cash,name,String.wz\Cash.img.xml
5152100,一次性隐形眼镜（黑色）,One-Time Cosmetic Lens (Black),cash,name,String.wz\Cash.img.xml
5152101,一次性隐形眼镜（蓝色）,One-Time Cosmetic Lens (Blue),cash,name,String.wz\Cash.img.xml
5152102,一次性隐形眼镜（红色）,One-Time Cosmetic Lens (Red),cash,name,String.wz\Cash.img.xml
5152103,一次性隐形眼镜（绿色）,One-Time Cosmetic Lens (Green),cash,name,String.wz\Cash.img.xml
5152104,一次性隐形眼镜（棕色）,One-Time Cosmetic Lens (Brown),cash,name,String.wz\Cash.img.xml
5152105,一次性隐形眼镜（祖母绿色）,One-Time Cosmetic Lens (Emerald),cash,name,String.wz\Cash.img.xml
5152106,一次性隐形眼镜（紫色）,One-Time Cosmetic Lens (Purple),cash,name,String.wz\Cash.img.xml
5152107,一次性隐形眼镜（紫水晶色）,One-Time Cosmetic Lens (Amethyst),cash,name,String.wz\Cash.img.xml
5153000,射手村护肤中心会员卡,Henesys Skin Coupon,cash,name,String.wz\Cash.img.xml
5153001,天空之城护肤中心会员卡,Orbis Skin Coupon,cash,name,String.wz\Cash.img.xml
5153002,玩具城护肤中心会员卡,Ludibrium Skin Coupon,cash,name,String.wz\Cash.img.xml
5153005,不夜城护肤中心会员卡,Night Market Skin Coupon,cash,name,String.wz\Cash.img.xml
5153006,武陵护肤中心会员卡,Mu Lung Skin Care Coupon,cash,name,String.wz\Cash.img.xml
5153007,阿里安特护肤中心会员卡,Ariant Skin Care Coupon,cash,name,String.wz\Cash.img.xml
5153009,新叶城护肤中心会员卡,NLC Skin Coupon,cash,name,String.wz\Cash.img.xml
5154000,天空之城散发发型会员卡,Orbis Dirty Hair Coupon,cash,name,String.wz\Cash.img.xml
5160000,呕吐,Queasy,cash,name,String.wz\Cash.img.xml
5160001,汗,Panicky,cash,name,String.wz\Cash.img.xml
5160002,哟!,Sweetness,cash,name,String.wz\Cash.img.xml
5160003,接吻,Smoochies,cash,name,String.wz\Cash.img.xml
5160004,眨眼,Wink,cash,name,String.wz\Cash.img.xml
5160005,疼,Ouch,cash,name,String.wz\Cash.img.xml
5160006,闪耀,Sparkling Eyes,cash,name,String.wz\Cash.img.xml
5160007,愤怒,Flaming,cash,name,String.wz\Cash.img.xml
5160008,闪闪发亮,Ray,cash,name,String.wz\Cash.img.xml
5160009,一见钟情,Goo Goo,cash,name,String.wz\Cash.img.xml
5160010,衰,Whoa Whoa,cash,name,String.wz\Cash.img.xml
5160011,思考,Constant Sigh,cash,name,String.wz\Cash.img.xml
5160012,口水,Drool,cash,name,String.wz\Cash.img.xml
5160013,好热呀,Dragon Breath,cash,name,String.wz\Cash.img.xml
5160014,啊哦,Bleh,cash,name,String.wz\Cash.img.xml
5170000,取宠物名,Pet Name Tag,cash,name,String.wz\Cash.img.xml
5180000,生命水,Water of Life,cash,name,String.wz\Cash.img.xml
5190000,捡道具技能,Item Pick-up Skill,cash,name,String.wz\Cash.img.xml
5190001,自动服用HP药水技能,HP Charge Skill,cash,name,String.wz\Cash.img.xml
5190002,扩大移动范围技能,Expand Range Skill,cash,name,String.wz\Cash.img.xml
5190003,范围自动捡起功能,Automatic Pick-Up Skill,cash,name,String.wz\Cash.img.xml
5190004,捡起无所有权道具,(+) Pick up Leftover Item &amp; Meso Skills,cash,name,String.wz\Cash.img.xml
5190005,不拣取特定道具技能,Unpickable item skill,cash,name,String.wz\Cash.img.xml
5190006,自动服用MP药水技能,MP potion recharge skill,cash,name,String.wz\Cash.img.xml
5191000,取消捡道具功能,(-) Delete Item Pick-Up,cash,name,String.wz\Cash.img.xml
5191001,取消自动服用药水功能,(-) Delete HP Charge,cash,name,String.wz\Cash.img.xml
5191002,取消扩大移动范围技能,(-)Delete Expand Range,cash,name,String.wz\Cash.img.xml
5191003,取消范围自动捡起功能,(-) Delete Automatic Pick-Up,cash,name,String.wz\Cash.img.xml
5191004,取消捡起无所有权道具,(-) Delete Pick up Leftover Item &amp; Meso,cash,name,String.wz\Cash.img.xml
5200000,青铜金币包,Bronze Sack of Mesos,cash,name,String.wz\Cash.img.xml
5200001,白银金币包,Silver Sack of Mesos,cash,name,String.wz\Cash.img.xml
5200002,黄金金币包,Gold Sack of Mesos,cash,name,String.wz\Cash.img.xml
5211000,双倍经验值卡-7天,2x EXP Card,cash,name,String.wz\Cash.img.xml
5211004,双倍经验值卡1 - 工作日,2x EXP Card Type 1 - Weekdays,cash,name,String.wz\Cash.img.xml
5211005,双倍经验值卡2 - 工作日,2x EXP Card Type 2 - Weekdays,cash,name,String.wz\Cash.img.xml
5211006,双倍经验值卡3 - 工作日,2x EXP Card Type 3 - Weekdays,cash,name,String.wz\Cash.img.xml
